text,label
"Free entry to win now!",spam
"Congratulations, you've won a prize",spam
"Claim your reward today",spam
"Limited-time offer expires soon",spam
"Act now, click this link",spam
"Winner selected reply YES",spam
"You have been selected for a reward",spam
"Exclusive deal just for you",spam
"Lowest price guaranteed",spam
"Urgent verify your account",spam
"Get cash fast apply now",spam
"Pre-approved loan offer",spam
"Make money quickly online",spam
"Gift card awaiting claim",spam
"Win an iPhone click here",spam
"Final notice payment required",spam
"Your package is on hold pay fee",spam
"Update your billing information",spam
"Limited seats register now",spam
"Double your earnings today",spam
"See you at 7pm",ham
"Meeting moved to 3",ham
"Lunch tomorrow?",ham
"Call when free",ham
"On my way",ham
"Thanks for the help",ham
"Let's catch up",ham
"Happy birthday!",ham
"Where are you?",ham
"Got it, thanks",ham
"Send the file please",ham
"Can we reschedule?",ham
"Stuck in traffic",ham
"Back home now",ham
"Talk later",ham
"The report looks good",ham
"Booked tickets for Friday",ham
"Reminder to water plants",ham
"See notes in the doc",ham
"Schedule the standup",ham
